pt(GeV) v_2
0.100000001 0.020516311559882473
0.300000012 0.0018874153106594968
0.5 0.008851088807381294
0.700000048 0.021362314528701073
0.900000036 0.025486041369292164
1.10000002 0.040986788388130586
1.30000007 0.05645727532696464
1.5 0.08482523073623122
1.70000005 0.10776602464699256
1.9000001 0.12482239975323875
2.0999999 0.14391916248484363
2.29999995 0.16194310311419374
2.5 0.1796523872990087
2.70000005 0.19250245734687604
2.89999986 0.2019025060082575
3.0999999 0.20821571520189194
3.29999995 0.21605473565859262
3.5 0.21458664473584818
3.70000005 0.21562058276066293
3.89999986 0.2063715334274502
4.0999999 0.2106508618896393
4.30000019 0.1957744282360832
4.5 0.19605754781491533
4.69999981 0.19170953544628752
4.9000001 0.18234610454372122
5.0999999 0.18474254145527597
5.30000019 0.1742310218282732
5.5 0.1744189234799849
5.69999981 0.15875311592036828
5.9000001 0.1516675956284153
6.5 0.1436130835332452
7.5 0.13614911165270738
8.500000570000001 0.11814603138509666
9.500000570000001 0.09221466778049255
10.5000006 0.09098953798345816
11.5000006 0.08727132357283217
