pt(GeV) v_2
0.100000001 0.002324022154535789
0.300000012 0.006541780466532135
0.5 0.01491414685160845
0.700000048 0.02268219187528054
0.900000036 0.038735742941943124
1.10000002 0.056014292981632414
1.30000007 0.06964850967493391
1.5 0.08668707262089691
1.70000005 0.10151849391484105
1.9000001 0.11617283769010511
2.0999999 0.13013846814682375
2.29999995 0.14066915139957398
2.5 0.1506142856564118
2.70000005 0.1564973950139275
2.89999986 0.16325635961641027
3.0999999 0.16119618222206591
3.29999995 0.15596885123426363
3.5 0.1501815714100224
3.70000005 0.1454189177460745
3.89999986 0.1493618717144045
4.0999999 0.15161272033630094
4.30000019 0.13937442154837776
4.5 0.13518055680437716
4.69999981 0.13488011832520858
4.9000001 0.1501377888154975
5.0999999 0.13820548673911387
5.30000019 0.13699006020857973
5.5 0.13658688822196105
5.69999981 0.13145717114366143
5.9000001 0.13528785369161653
6.5 0.13001610069025984
7.5 0.1152368542772491
8.500000570000001 0.10481915241677944
9.500000570000001 0.08555916167264711
10.5000006 0.07738813667609175
11.5000006 0.06876337610092008
