0.129615, 0.001854
0.405232, 0.005019
0.718093, 0.008817
0.963900, 0.017887
1.165016, 0.025270
1.321436, 0.032230
1.448055, 0.041300
1.582122, 0.050791
1.716187, 0.061548
1.805557, 0.071671
1.917269, 0.084959
1.991739, 0.095504
2.066215, 0.103729
2.185387, 0.111744
2.289658, 0.120602
2.393931, 0.129039
2.498204, 0.137054
2.632274, 0.145490
2.766344, 0.153505
2.945104, 0.164157
3.176012, 0.173859
3.541004, 0.184723
3.838960, 0.191684
4.271005, 0.197803
4.680712, 0.199493
5.142567, 0.199284
5.544832, 0.197178
5.961999, 0.193384
6.356820, 0.188747
6.803785, 0.184742
7.109213, 0.180948
7.518927, 0.179052
7.861604, 0.173782
8.278774, 0.168934
8.636351, 0.163031
9.038627, 0.155652
9.418548, 0.151858
9.895311, 0.147221
10.431668, 0.142584
10.625358, 0.138368
10.893540, 0.134151
11.057424, 0.134152
11.407550, 0.129515
11.616138, 0.125509
11.824723, 0.122768
