0.072500, 0.003875
0.315630, 0.006513
0.501851, 0.011786
0.682897, 0.017938
0.832901, 0.025994
0.998418, 0.036540
1.112209, 0.044889
1.246687, 0.056020
1.381164, 0.067738
1.567362, 0.083849
1.681148, 0.094688
1.763899, 0.103476
1.903549, 0.115193
1.970781, 0.124274
2.110428, 0.137309
2.224212, 0.148734
2.306968, 0.155325
2.560417, 0.171436
2.674211, 0.178613
3.108730, 0.188868
3.600182, 0.185649
3.951971, 0.177156
4.314102, 0.170568
4.645205, 0.158707
4.914229, 0.147871
5.250494, 0.141429
5.679885, 0.130593
5.933382, 0.123419
6.145481, 0.122395
6.336898, 0.116684
6.714538, 0.115075
7.164615, 0.106730
7.350859, 0.101166
7.645730, 0.099117
7.919916, 0.093700
8.225133, 0.091798
8.488968, 0.088577
8.820049, 0.087700
9.156304, 0.086091
9.451177, 0.083018
9.802955, 0.080090
10.123695, 0.076138
10.340972, 0.073064
10.578938, 0.071601
10.847946, 0.068234
11.147994, 0.064867
11.442863, 0.063844
11.753253, 0.062088
11.955007, 0.060625
