pT v2
0.3242210322997505 0.0020106482022471395
0.5912616309575363 0.004888152633906406
0.864749806962192 0.010649424247076184
1.1573699200124645 0.018428981562311708
1.3927454444222955 0.024912149658336463
1.5582057679926131 0.0313969980043213
1.7936866898999408 0.041196674021579005
1.9909220677156005 0.04753656262100667
2.194568362879001 0.0556066504293421
2.404579750391231 0.0639649774808318
2.6209379002527244 0.07203475978917451
2.849971244813182 0.07895066862492164
3.0344489429318378 0.08384890275858858
3.1871744993046063 0.08961307662168944
3.4225179462151987 0.09508687274168678
3.6832667725224137 0.09998327387539727
3.931221259133496 0.10228445257074428
4.172801488395964 0.10400900002978627
4.439819174554294 0.1061655244785688
4.6177851403276025 0.10616124747867038
4.821165650497315 0.10586796748563579
5.0181673208185265 0.10485386025972085
5.170636257197389 0.10254305831460236
5.354916907820723 0.1012408645955295
5.596341332086893 0.09806274817100977
5.742426846117363 0.09488692299643559
5.920342404391866 0.09329649003420837
6.161780576157711 0.0905509615994147
6.40320041792399 0.0872286491783196
6.62556164264291 0.08419518700036432
6.905098718503905 0.08029517409298961
7.08934270912811 0.07783941240131398
7.324429536044799 0.07523823271309199
7.534106401064972 0.0730702520145815
7.845423113671202 0.06916947535722498
8.093208047786309 0.06613540217928424
8.379192700994174 0.06511915645342006
8.677820471401763 0.061939665278932965
8.963690562112347 0.05731851963868517
9.38309011715161 0.05442451820741773
9.630925458765518 0.05297660099180573
10.075776218200314 0.05094716454000486
10.545995697032598 0.047186765129314356
10.920990828126467 0.04703355688295305
11.264238399974339 0.04789048436260104
